Year,Category,Nominee,Additional Info,Won?,,,,,,
2007 (80th),Makeup,Pirates of the Caribbean: At World's End,Ve Neill and Martin Samuel,NO,,,,,,
2007 (80th),Music (Scoring),Atonement,Dario Marianelli,YES,,,,,,
2007 (80th),Music (Scoring),The Kite Runner,Alberto Iglesias,NO,,,,,,
2007 (80th),Music (Scoring),Michael Clayton,James Newton Howard,NO,,,,,,
2007 (80th),Music (Scoring),Ratatouille,Michael Giacchino,NO,,,,,,
2007 (80th),Music (Scoring),3:10 to Yuma,Marco Beltrami,NO,,,,,,
2007 (80th),Music (Song),Once,Music and Lyric by Glen Hansard and Marketa Irglova,YES,,,,,,
2007 (80th),Music (Song),Enchanted,Music by Alan Menken; Lyric by Stephen Schwartz,NO,,,,,,
2007 (80th),Music (Song),August Rush,"Music and Lyric by Jamal Joseph, Charles Mack and Tevin Thomas",NO,,,,,,
2007 (80th),Music (Song),Enchanted,Music by Alan Menken; Lyric by Stephen Schwartz,NO,,,,,,
2007 (80th),Music (Song),Enchanted,Music by Alan Menken; Lyric by Stephen Schwartz,NO,,,,,,
2007 (80th),Best Picture,Atonement,"Tim Bevan, Eric Fellner and Paul Webster, Producers",NO,,,,,,
2007 (80th),Best Picture,Juno,"Lianne Halfon, Mason Novick and Russell Smith, Producers",NO,,,,,,
2007 (80th),Best Picture,Michael Clayton,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",NO,,,,,,
2007 (80th),Best Picture,No Country for Old Men,"Scott Rudin, Ethan Coen and Joel Coen, Producers",YES,,,,,,
2007 (80th),Best Picture,There Will Be Blood,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",NO,,,,,,
2007 (80th),Short Film (Animated),I Met the Walrus,Josh Raskin,NO,,,,,,
2007 (80th),Short Film (Animated),Madame Tutli-Putli,Chris Lavis and Maciek Szczerbowski,NO,,,,,,
2007 (80th),Short Film (Animated),Même les Pigeons Vont au Paradis (Even Pigeons Go to Heaven),Samuel Tourneux and Simon Vanesse,NO,,,,,,
2007 (80th),Short Film (Animated),My Love (Moya Lyubov),Alexander Petrov,NO,,,,,,
2007 (80th),Short Film (Animated),Peter & the Wolf,Suzie Templeton and Hugh Welchman,YES,,,,,,
2007 (80th),Short Film (Live Action),At Night,Christian E. Christiansen and Louise Vesth,NO,,,,,,
2007 (80th),Short Film (Live Action),Il Supplente (The Substitute),Andrea Jublin,NO,,,,,,
2007 (80th),Short Film (Live Action),Le Mozart des Pickpockets (The Mozart of Pickpockets),Philippe Pollet-Villard,YES,,,,,,
2007 (80th),Short Film (Live Action),Tanghi Argentini,Guido Thys and Anja Daelemans,NO,,,,,,
2007 (80th),Short Film (Live Action),The Tonto Woman,Daniel Barber and Matthew Brown,NO,,,,,,
2007 (80th),Sound,The Bourne Ultimatum,"Scott Millan, David Parker and Kirk Francis",YES,,,,,,
2007 (80th),Sound,No Country for Old Men,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter Kurland",NO,,,,,,
2007 (80th),Sound,Ratatouille,"Randy Thom, Michael Semanick and Doc Kane",NO,,,,,,
2007 (80th),Sound,3:10 to Yuma,"Paul Massey, David Giammarco and Jim Stuebe",NO,,,,,,
2007 (80th),Sound,Transformers,"Kevin O'Connell, Greg P. Russell and Peter J. Devlin",NO,,,,,,
2007 (80th),Sound Editing,The Bourne Ultimatum,Karen Baker Landers and Per Hallberg,YES,,,,,,
2007 (80th),Sound Editing,No Country for Old Men,Skip Lievsay,NO,,,,,,
2007 (80th),Sound Editing,Ratatouille,Randy Thom and Michael Silvers,NO,,,,,,
2007 (80th),Sound Editing,There Will Be Blood,Christopher Scarabosio and Matthew Wood,NO,,,,,,
2007 (80th),Sound Editing,Transformers,Ethan Van der Ryn and Mike Hopkins,NO,,,,,,
2007 (80th),Visual Effects,The Golden Compass,"Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood",YES,,,,,,
2007 (80th),Visual Effects,Pirates of the Caribbean: At World's End,"John Knoll, Hal Hickel, Charles Gibson and John Frazier",NO,,,,,,
2007 (80th),Visual Effects,Transformers,"Scott Farrar, Scott Benza, Russell Earl and John Frazier",NO,,,,,,
2007 (80th),Writing,Atonement,Screenplay by Christopher Hampton,NO,,,,,,
2007 (80th),Writing,Away from Her,Written by Sarah Polley,NO,,,,,,
2007 (80th),Writing,The Diving Bell and the Butterfly,Screenplay by Ronald Harwood,NO,,,,,,
2007 (80th),Writing,No Country for Old Men,Written for the screen by Joel Coen & Ethan Coen,YES,,,,,,
2007 (80th),Writing,There Will Be Blood,Written for the Screen by Paul Thomas Anderson,NO,,,,,,
2007 (80th),Writing,Juno,Written by Diablo Cody,YES,,,,,,
2007 (80th),Writing,Lars and the Real Girl,Written by Nancy Oliver,NO,,,,,,
2007 (80th),Writing,Michael Clayton,Written by Tony Gilroy,NO,,,,,,
2007 (80th),Writing,Ratatouille,"Screenplay by Brad Bird; Story by Jan Pinkava, Jim Capobianco, Brad Bird",NO,,,,,,
2007 (80th),Writing,The Savages,Written by Tamara Jenkins,NO,,,,,,
2007 (80th),Honorary Award,To Robert Boyle in recognition of one of cinema's great careers in art direction.,,YES,,,,,,
2007 (80th),Scientific and Technical (Academy Award of Merit),"To the EASTMAN KODAK COMPANY for the development of photographic emulsion technologies incorporated into the Kodak Vision2 family of color negative films. These new technologies are breakthroughs in film speed, grain and sharpness that have made a significant impact on the motion picture industry. The Vision2 family allows wider use of high-speed color negative film, lower light levels on set and faster set-ups. Most importantly, Vision2 improves the overall picture quality in theatrical presentation. [Laboratory]",,YES,,,,,,
2007 (80th),Scientific and Technical (Scientific and Engineering Award),"To DR. DOUG ROBLE, NAFEES BIN ZAFAR and RYO SAKAGUCHI for the development of the fluid simulation system at Digital Domain. This influential and flexible production-proven system incorporates innovative algorithms and refined adaptations of published methods to achieve large-scale water effects. [Digital Imaging Technology]",,YES,,,,,,
2007 (80th),Scientific and Technical (Scientific and Engineering Award),"To NICK RASMUSSEN, RON FEDKIW and FRANK LOSASSO PETTERSON for the development of the Industrial Light & Magic fluid simulation system. This production-proven simulation system achieves large-scale water effects within ILM's Zeno framework. It includes integrating particle level sets, parallel computation, and tools that enable the artistic direction of the results. [Digital Imaging Technology]",,YES,,,,,,
2007 (80th),Scientific and Technical (Technical Achievement Award),"To CHRISTIEN TINSLEY for the creation of the transfer techniques for creating and applying 2D and 3D makeup known as Tinsley Transfers."" These techniques allow quick and precisely repeatable application of 2D makeup such as tattoos", bruises and birthmarks, as well as 3D prosthetic appliances ranging in size from small wounds to entire torsos. They utilize self-adhesive material that features an unprecedented combination of tissue-thin edges, resilience, flexibility and water resistance," while requiring no dangerous solvents. [Systems]""",,*,
2007 (80th),Scientific and Technical (Technical Achievement Award),"To JÖRG PÖHLER and RÜDIGER KLEINKE of OTTEC Technology GmbH for the design and development of the battery-operated series of fog machines known as Tiny Foggers."" The operating characteristics of this compact", well-engineered and remote-controllable package make possible a range of safe special effects that would be totally impractical with larger," more conventional fog units. [Stage Operations]""",,*,,,,
2007 (80th),Scientific and Technical (Technical Achievement Award),"To SEBASTIAN CRAMER for the invention and general design, and ANDREAS DASSER, head of development at P&S Technik GmbH, for the mechanical design, of the Skater Dolly and its family of products. This small, portable, camera-only dolly allows low lens positions, movement in restricted places and tight offset circular maneuvers with rapid set-up. [Camera Cranes]",,YES,,,,,,
2007 (80th),Scientific and Technical (Technical Achievement Award),"To VICTOR GONZALEZ, IGNACIO VARGAS and ANGEL TENA for the creation of the RealFlow software application. RealFlow was the first widely adopted, commercially available, easy-to-use system for the simulation of realistic liquids in motion picture visual effects. [Digital Imaging Technology]",,YES,,,,,,
2007 (80th),Scientific and Technical (Technical Achievement Award),"To JONATHAN M. COHEN, DR. JERRY TESSENDORF, DR. JEROEN MOLEMAKER and MICHAEL KOWALSKI for the development of the system of fluid dynamics tools at Rhythm & Hues. This system allows artists to create realistic animation of liquids and gases using novel simulation techniques for accuracy and speed, as well as a unique scripting language for working with volumetric data. [Digital Imaging Technology]",,YES,,,,,,
2007 (80th),Scientific and Technical (Technical Achievement Award),"To DUNCAN BRINSMEAD, JOS STAM, JULIA PAKALNS and MARTIN WERNER for the design and implementation of the Maya Fluid Effects system. This system is used to create simulations of gaseous phenomena integrated into the widely available Maya tool suite, using an unconditionally stable semi-Lagrangian solver. [Digital Imaging Technology]",,YES,,,,,,
2007 (80th),Scientific and Technical (Technical Achievement Award),"To STEPHAN TROJANSKY, THOMAS GANSHORN and OLIVER PILARSKI for the development of the Flowline fluid effects system. Flowline is a flexible system that incorporates highly parallel computation, allowing rapid iteration and resulting in detailed, realistic fluid effects. [Digital Imaging Technology]",,YES,,,,,,
2007 (80th),Scientific and Technical (Gordon E. Sawyer Award),David A. Grafton,,YES,,,,,,
2007 (80th),Scientific and Technical (Bonner Medal),To David Inglish in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,
2007 (80th),Scientific and Technical (Special Awards),"To Jonathan Erland in recognition of his leadership and efforts toward identifying and solving the problem of High-Speed Emulsion Stress Syndrome in motion picture film stock. By coordinating and conducting tests for and with the industry, and by sharing results openly, Mr. Erland clearly demonstrated the value and effectiveness of independent research and industry-wide cooperation.",,YES,,,,,,
2006 (79th),Actor -- Leading Role,Leonardo DiCaprio,Blood Diamond {'Danny Archer'},NO,,,,,,
2006 (79th),Actor -- Leading Role,Ryan Gosling,Half Nelson {'Dan Dunne'},NO,,,,,,
2006 (79th),Actor -- Leading Role,Peter O'Toole,Venus {'Maurice'},NO,,,,,,
2006 (79th),Actor -- Leading Role,Will Smith,The Pursuit of Happyness {'Chris Gardner'},NO,,,,,,
2006 (79th),Actor -- Leading Role,Forest Whitaker,The Last King of Scotland {'Idi Amin'},YES,,,,,,
2006 (79th),Actor -- Supporting Role,Alan Arkin,Little Miss Sunshine {'Grandpa'},YES,,,,,,
2006 (79th),Actor -- Supporting Role,Jackie Earle Haley,Little Children {'Ronnie J. McGorvey'},NO,,,,,,
2006 (79th),Actor -- Supporting Role,Djimon Hounsou,Blood Diamond {'Solomon Vandy'},NO,,,,,,
2006 (79th),Actor -- Supporting Role,Eddie Murphy,Dreamgirls {'James 'Thunder' Early'},NO,,,,,,
2006 (79th),Actor -- Supporting Role,Mark Wahlberg,The Departed {'Dignam'},NO,,,,,,
2006 (79th),Actress -- Leading Role,Penélope Cruz,Volver {'Raimunda'},NO,,,,,,
2006 (79th),Actress -- Leading Role,Judi Dench,Notes on a Scandal {'Barbara Covett'},NO,,,,,,
2006 (79th),Actress -- Leading Role,Helen Mirren,The Queen {'The Queen'},YES,,,,,,
2006 (79th),Actress -- Leading Role,Meryl Streep,The Devil Wears Prada {'Miranda Priestly'},NO,,,,,,
2006 (79th),Actress -- Leading Role,Kate Winslet,Little Children {'Sarah Pierce'},NO,,,,,,
2006 (79th),Actress -- Supporting Role,Adriana Barraza,Babel {'Amelia'},NO,,,,,,
2006 (79th),Actress -- Supporting Role,Cate Blanchett,Notes on a Scandal {'Sheba Hart'},NO,,,,,,
2006 (79th),Actress -- Supporting Role,Abigail Breslin,Little Miss Sunshine {'Olive'},NO,,,,,,
2006 (79th),Actress -- Supporting Role,Jennifer Hudson,Dreamgirls {'Effie White'},YES,,,,,,
2006 (79th),Actress -- Supporting Role,Rinko Kikuchi,Babel {'Chieko'},NO,,,,,,
2006 (79th),Animated Feature Film,Cars,John Lasseter,NO,,,,,,
2006 (79th),Animated Feature Film,Happy Feet,George Miller,YES,,,,,,
2006 (79th),Animated Feature Film,Monster House,Gil Kenan,NO,,,,,,
2006 (79th),Art Direction,Dreamgirls,Art Direction: John Myhre; Set Decoration: Nancy Haigh,NO,,,,,,
2006 (79th),Art Direction,The Good Shepherd,Art Direction: Jeannine Oppewall; Set Decoration: Gretchen Rau and Leslie E. Rollins,NO,,,,,,
2006 (79th),Art Direction,Pan's Labyrinth,Art Direction: Eugenio Caballero; Set Decoration: Pilar Revuelta,YES,,,,,,
2006 (79th),Art Direction,Pirates of the Caribbean: Dead Man's Chest,Art Direction: Rick Heinrichs; Set Decoration: Cheryl Carasik,NO,,,,,,
2006 (79th),Art Direction,The Prestige,Art Direction: Nathan Crowley; Set Decoration: Julie Ochipinti,NO,,,,,,
2006 (79th),Cinematography,The Black Dahlia,Vilmos Zsigmond,NO,,,,,,
2006 (79th),Cinematography,Children of Men,Emmanuel Lubezki,NO,,,,,,
2006 (79th),Cinematography,The Illusionist,Dick Pope,NO,,,,,,
2006 (79th),Cinematography,Pan's Labyrinth,Guillermo Navarro,YES,,,,,,
2006 (79th),Cinematography,The Prestige,Wally Pfister,NO,,,,,,
2006 (79th),Costume Design,Curse of the Golden Flower,Yee Chung Man,NO,,,,,,
2006 (79th),Costume Design,The Devil Wears Prada,Patricia Field,NO,,,,,,
2006 (79th),Costume Design,Dreamgirls,Sharen Davis,NO,,,,,,
2006 (79th),Costume Design,Marie Antoinette,Milena Canonero,YES,,,,,,
2006 (79th),Costume Design,The Queen,Consolata Boyle,NO,,,,,,
2006 (79th),Directing,Babel,Alejandro González Iñárritu,NO,,,,,,
2006 (79th),Directing,The Departed,Martin Scorsese,YES,,,,,,
2006 (79th),Directing,Letters from Iwo Jima,Clint Eastwood,NO,,,,,,
2006 (79th),Directing,The Queen,Stephen Frears,NO,,,,,,
2006 (79th),Directing,United 93,Paul Greengrass,NO,,,,,,
2006 (79th),Documentary (Feature),Deliver Us from Evil,Amy Berg and Frank Donner,NO,,,,,,
2006 (79th),Documentary (Feature),An Inconvenient Truth,Davis Guggenheim,YES,,,,,,
2006 (79th),Documentary (Feature),Iraq in Fragments,James Longley and John Sinno,NO,,,,,,
2006 (79th),Documentary (Feature),Jesus Camp,Heidi Ewing and Rachel Grady,NO,,,,,,
2006 (79th),Documentary (Feature),"My Country, My Country",Laura Poitras and Jocelyn Glatzer,NO,,,,,,
2006 (79th),Documentary (Short Subject),The Blood of Yingzhou District,Ruby Yang and Thomas Lennon,YES,,,,,,
2006 (79th),Documentary (Short Subject),Recycled Life,Leslie Iwerks and Mike Glad,NO,,,,,,
2006 (79th),Documentary (Short Subject),Rehearsing a Dream,Karen Goodman and Kirk Simon,NO,,,,,,
2006 (79th),Documentary (Short Subject),Two Hands,Nathaniel Kahn and Susan Rose Behr,NO,,,,,,
2006 (79th),Film Editing,Babel,Stephen Mirrione and Douglas Crise,NO,,,,,,
2006 (79th),Film Editing,Blood Diamond,Steven Rosenblum,NO,,,,,,
2006 (79th),Film Editing,Children of Men,Alex Rodríguez and Alfonso Cuarón,NO,,,,,,
2006 (79th),Film Editing,The Departed,Thelma Schoonmaker,YES,,,,,,
2006 (79th),Film Editing,United 93,"Clare Douglas, Christopher Rouse and Richard Pearson",NO,,,,,,
2006 (79th),Foreign Language Film,After the Wedding,Denmark,NO,,,,,,
2006 (79th),Foreign Language Film,Days of Glory (Indigènes),Algeria,NO,,,,,,
2006 (79th),Foreign Language Film,The Lives of Others,Germany,YES,,,,,,
2006 (79th),Foreign Language Film,Pan's Labyrinth,Mexico,NO,,,,,,
2006 (79th),Foreign Language Film,Water,Canada,NO,,,,,,
2006 (79th),Makeup,Apocalypto,Aldo Signoretti and Vittorio Sodano,NO,,,,,,
2006 (79th),Makeup,Click,Kazuhiro Tsuji and Bill Corso,NO,,,,,,
2006 (79th),Makeup,Pan's Labyrinth,David Martí and Montse Ribé,YES,,,,,,
2006 (79th),Music (Scoring),Babel,Gustavo Santaolalla,YES,,,,,,
2006 (79th),Music (Scoring),The Good German,Thomas Newman,NO,,,,,,
2006 (79th),Music (Scoring),Notes on a Scandal,Philip Glass,NO,,,,,,
2006 (79th),Music (Scoring),Pan's Labyrinth,Javier Navarrete,NO,,,,,,
2006 (79th),Music (Scoring),The Queen,Alexandre Desplat,NO,,,,,,
2006 (79th),Music (Song),An Inconvenient Truth,Music and Lyric by Melissa Etheridge,YES,,,,,,
2006 (79th),Music (Song),Dreamgirls,Music by Henry Krieger and Scott Cutler; Lyric by Anne Preven,NO,,,,,,
2006 (79th),Music (Song),Dreamgirls,Music by Henry Krieger; Lyric by Siedah Garrett,NO,,,,,,
2006 (79th),Music (Song),Cars,Music and Lyric by Randy Newman,NO,,,,,,
2006 (79th),Music (Song),Dreamgirls,Music by Henry Krieger; Lyric by Willie Reale,NO,,,,,,
2006 (79th),Best Picture,Babel,"Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers",NO,,,,,,
2006 (79th),Best Picture,The Departed,"Graham King, Producer",YES,,,,,,
2006 (79th),Best Picture,Letters from Iwo Jima,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",NO,,,,,,
2006 (79th),Best Picture,Little Miss Sunshine,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",NO,,,,,,
2006 (79th),Best Picture,The Queen,"Andy Harries, Christine Langan and Tracey Seaward, Producers",NO,,,,,,
2006 (79th),Short Film (Animated),The Danish Poet,Torill Kove,YES,,,,,,
2006 (79th),Short Film (Animated),Lifted,Gary Rydstrom,NO,,,,,,
2006 (79th),Short Film (Animated),The Little Matchgirl,Roger Allers and Don Hahn,NO,,,,,,
2006 (79th),Short Film (Animated),Maestro,Géza M. Tóth,NO,,,,,,
2006 (79th),Short Film (Animated),No Time for Nuts,Chris Renaud and Michael Thurmeier,NO,,,,,,
2006 (79th),Short Film (Live Action),Binta and the Great Idea (Binta Y La Gran Idea),Javier Fesser and Luis Manso,NO,,,,,,
2006 (79th),Short Film (Live Action),Éramos Pocos (One Too Many),Borja Cobeaga,NO,,,,,,
2006 (79th),Short Film (Live Action),Helmer & Son,Søren Pilmark and Kim Magnusson,NO,,,,,,
2006 (79th),Short Film (Live Action),The Saviour,Peter Templeman and Stuart Parkyn,NO,,,,,,
2006 (79th),Short Film (Live Action),West Bank Story,Ari Sandel,YES,,,,,,
2006 (79th),Sound,Apocalypto,"Kevin O'Connell, Greg P. Russell and Fernando Cámara",NO,,,,,,
2006 (79th),Sound,Blood Diamond,"Andy Nelson, Anna Behlmer and Ivan Sharrock",NO,,,,,,
2006 (79th),Sound,Dreamgirls,"Michael Minkler, Bob Beemer and Willie Burton",YES,,,,,,
2006 (79th),Sound,Flags of Our Fathers,"John Reitz, Dave Campbell, Gregg Rudloff and Walt Martin",NO,,,,,,
2006 (79th),Sound,Pirates of the Caribbean: Dead Man's Chest,"Paul Massey, Christopher Boyes and Lee Orloff",NO,,,,,,
2006 (79th),Sound Editing,Apocalypto,Sean McCormack and Kami Asgar,NO,,,,,,
2006 (79th),Sound Editing,Blood Diamond,Lon Bender,NO,,,,,,
2006 (79th),Sound Editing,Flags of Our Fathers,Alan Robert Murray and Bub Asman,NO,,,,,,
2006 (79th),Sound Editing,Letters from Iwo Jima,Alan Robert Murray and Bub Asman,YES,,,,,,
2006 (79th),Sound Editing,Pirates of the Caribbean: Dead Man's Chest,Christopher Boyes and George Watters II,NO,,,,,,
2006 (79th),Visual Effects,Pirates of the Caribbean: Dead Man's Chest,"John Knoll, Hal Hickel, Charles Gibson and Allen Hall",YES,,,,,,
2006 (79th),Visual Effects,Poseidon,"Boyd Shermis, Kim Libreri, Chas Jarrett and John Frazier",NO,,,,,,
2006 (79th),Visual Effects,Superman Returns,"Mark Stetson, Neil Corbould, Richard R. Hoover and Jon Thum",NO,,,,,,
2006 (79th),Writing,Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Screenplay by Sacha Baron Cohen & Anthony Hines & Peter Baynham & Dan Mazer; Story by Sacha Baron Cohen & Peter Baynham & Anthony Hines & Todd Phillips,NO,,,,,,
2006 (79th),Writing,Children of Men,Screenplay by Alfonso Cuarón & Timothy J. Sexton and David Arata and Mark Fergus & Hawk Ostby,NO,,,,,,
2006 (79th),Writing,The Departed,Screenplay by William Monahan,YES,,,,,,
2006 (79th),Writing,Little Children,Screenplay by Todd Field & Tom Perrotta,NO,,,,,,
2006 (79th),Writing,Notes on a Scandal,Screenplay by Patrick Marber,NO,,,,,,
2006 (79th),Writing,Babel,Written by Guillermo Arriaga,NO,,,,,,
2006 (79th),Writing,Letters from Iwo Jima,Screenplay by Iris Yamashita; Story by Iris Yamashita & Paul Haggis,NO,,,,,,
2006 (79th),Writing,Little Miss Sunshine,Written by Michael Arndt,YES,,,,,,
2006 (79th),Writing,Pan's Labyrinth,Written by Guillermo del Toro,NO,,,,,,
2006 (79th),Writing,The Queen,Written by Peter Morgan,NO,,,,,,
2006 (79th),Honorary Award,To Ennio Morricone in recognition of his magnificent and multifaceted contributions to the art of film music.,,YES,,,,,,
2006 (79th),Jean Hersholt Humanitarian Award,Sherry Lansing,,YES,,,,,,
2006 (79th),Scientific and Technical (Scientific and Engineering Award),"To PHILLIP J. FEINER, JIM HOUSTON, DENIS LECONTE and CHRIS BUSHMAN of Pacific Title and Art Studio for the design and development of the Rosetta process for creating digital YCM archival masters for digital film restoration. With elements that may be recombined either digitally or optically, the Rosetta Separations process offers a uniquely great versatility in achieving high-quality results for digital YCM archiving. [Laboratory]",,YES,,,,,,
2006 (79th),Scientific and Technical (Scientific and Engineering Award),"To STEVE SULLIVAN, COLIN DAVIDSON, MAX CHEN and FRANCESCO CALLARI for the design and development of the ILM Image-based Modeling System. This highly integrated system facilitates interactive construction and editing of 3D models from digital photographs and addresses the three-dimensional scanning needs of motion pictures in unique and innovative ways. [Digital Imaging Technology]",,YES,,,,,,
2006 (79th),Scientific and Technical (Scientific and Engineering Award),"To DR. BILL COLLIS, SIMON ROBINSON, BEN KENT and DR. ANIL KOKARAM for the design and development of the Furnace integrated suite of software tools that robustly utilizes temporal coherence for enhancing visual effects in motion picture sequences. The Furnace toolset's modularity, flexibility and robustness has set a high standard of quality for optical flow-based image manipulation. [Digital Imaging Technology]",,YES,,,,,,
2006 (79th),Scientific and Technical (Scientific and Engineering Award),"To HOWARD PRESTON and MIRKO KOVACEVIC for the design and engineering of the Preston Cinema Systems FI+Z wireless remote system. Pioneering unprecedented reliability and flexibility in wireless lens and camera operation, the FI+Z has continued to be a leader in innovation since its introduction in 1994. [Photography]",,YES,,,,,,
2006 (79th),Scientific and Technical (Technical Achievement Award),To JOSHUA PINES and CHRIS KUTCKA of Technicolor Digital Intermediates for the design and development of the TDI process for creating archival separations from digital image data. The TDI process is based on the production of digital separation negatives creating archival elements that can be scanned and digitally recombined in the future. [Laboratory],,YES,,,,,,
2006 (79th),Scientific and Technical (Technical Achievement Award),To WILLIAM FEIGHTNER and CHRIS EDWARDS of E-Film for the design and development of the E-Film process for creating archival separations from digital image data. The E-Film process is based on the production of digital separation negatives creating archival elements that can be scanned and digitally recombined in the future. [Laboratory],,YES,,,,,,
2006 (79th),Scientific and Technical (Technical Achievement Award),"To ALBERT RIDILLA, PAPKEN SHAHBAZIAN, RONALD BELKNAP and JAY McGARRIGLE for the design and development of the Hollywood Film Company Brumagic MPST Densitometer. The Brumagic MPST was designed specifically to measure density in the motion picture soundtrack and has become the densitometer of choice for reading soundtrack negative and positive densities worldwide. [Sound]",,YES,,,,,,
2006 (79th),Scientific and Technical (Technical Achievement Award),"To KLEMENS KEHRER, JOSEF HANDLER, THOMAS SMIDEK and MARC SHIPMAN MUELLER for the design and development of the Arriflex 235 Camera System. Designed for handheld photography, the features of this small, lightweight MOS camera also allow it to be used as a secondary production camera. [Camera]",,YES,,,,,,
2006 (79th),Scientific and Technical (Technical Achievement Award),"To FLORIAN KAINZ for the design and engineering of OpenEXR, a software package implementing 16-bit, floating point, high dynamic range image files. Widely adopted, OpenEXR is engineered to meet the requirements of the visual effects industry by providing for lossless and lossy compression of tiered and tiled images. [Digital Imaging Technology]",,YES,,,,,,
2006 (79th),Scientific and Technical (Technical Achievement Award),To WALTER TRAUNINGER and ERNST TSCHIDA for the design and engineering of the Arri WRC wireless remote lens control system. This highly modular system permits accurate and reliable wireless control with multiple hand controls of all lens functions. [Photography],,YES,,,,,,
2006 (79th),Scientific and Technical (Technical Achievement Award),"To CHRISTIAN TSCHIDA and MARTIN WAITZ of cmotion for the design and engineering of the cmotion Wireless Remote System. The graphical user interface of the cmotion System eases the difficult task of following focus, and the unique lens tag system recalls the calibration for each lens. [Photography]",,YES,,,,,,
2006 (79th),Scientific and Technical (Technical Achievement Award),To PETER LITWINOWICZ and PIERRE JASMIN for the design and development of the RE:Vision Effects family of software tools for optical flow-based image manipulation. A unique user interface and relatively low cost have made these tools ubiquitous in the visual effects community. [Digital Imaging Technology],,YES,,,,,,
2006 (79th),Scientific and Technical (Gordon E. Sawyer Award),Ray Feeney,,YES,,,,,,
2006 (79th),Scientific and Technical (Bonner Medal),To Richard Edlund in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,
2006 (79th),Scientific and Technical (Special Awards),"To Ioan Allen, J. Wayne Anderson, Mary Ann Anderson, Ted Costas, Paul R. Goldberg, Shawn Jones, Thomas Kuhn, Dr. Alan Masson, Colin Mossman, Martin Richards, Frank Ricotta and Richard C. Sehlin for their contributions to the environmentally responsible industry conversion from silver-based to cyan dye analog soundtracks.",,YES,,,,,,
2005 (78th),Actor -- Leading Role,Philip Seymour Hoffman,Capote {'Truman Capote'},YES,,,,,,
2005 (78th),Actor -- Leading Role,Terrence Howard,Hustle & Flow {'DJay'},NO,,,,,,
2005 (78th),Actor -- Leading Role,Heath Ledger,Brokeback Mountain {'Ennis Del Mar'},NO,,,,,,
2005 (78th),Actor -- Leading Role,Joaquin Phoenix,Walk the Line {'John R. Cash'},NO,,,,,,
2005 (78th),Actor -- Leading Role,David Strathairn,"Good Night, and Good Luck. {'Edward R. Murrow'}",NO,,,,,,
2005 (78th),Actor -- Supporting Role,George Clooney,Syriana {'Bob Barnes'},YES,,,,,,
2005 (78th),Actor -- Supporting Role,Matt Dillon,Crash {'Officer Ryan'},NO,,,,,,
2005 (78th),Actor -- Supporting Role,Paul Giamatti,Cinderella Man {'Joe Gould'},NO,,,,,,
2005 (78th),Actor -- Supporting Role,Jake Gyllenhaal,Brokeback Mountain {'Jack Twist'},NO,,,,,,
2005 (78th),Actor -- Supporting Role,William Hurt,A History of Violence {'Richie Cusack'},NO,,,,,,
2005 (78th),Actress -- Leading Role,Judi Dench,Mrs. Henderson Presents {'Mrs. Laura Henderson'},NO,,,,,,
2005 (78th),Actress -- Leading Role,Felicity Huffman,Transamerica {'Bree'},NO,,,,,,
2005 (78th),Actress -- Leading Role,Keira Knightley,Pride & Prejudice {'Elizabeth Bennet'},NO,,,,,,
2005 (78th),Actress -- Leading Role,Charlize Theron,North Country {'Josey Aimes'},NO,,,,,,
2005 (78th),Actress -- Leading Role,Reese Witherspoon,Walk the Line {'June Carter'},YES,,,,,,
2005 (78th),Actress -- Supporting Role,Amy Adams,Junebug {'Ashley'},NO,,,,,,
2005 (78th),Actress -- Supporting Role,Catherine Keener,Capote {'Nelle Harper Lee'},NO,,,,,,
2005 (78th),Actress -- Supporting Role,Frances McDormand,North Country {'Glory'},NO,,,,,,
2005 (78th),Actress -- Supporting Role,Rachel Weisz,The Constant Gardener {'Tessa Quayle'},YES,,,,,,
2005 (78th),Actress -- Supporting Role,Michelle Williams,Brokeback Mountain {'Alma'},NO,,,,,,
2005 (78th),Animated Feature Film,Howl's Moving Castle,Hayao Miyazaki,NO,,,,,,
2005 (78th),Animated Feature Film,Tim Burton's Corpse Bride,Mike Johnson and Tim Burton,NO,,,,,,
2005 (78th),Animated Feature Film,Wallace & Gromit in The Curse of the Were-Rabbit,Nick Park and Steve Box,YES,,,,,,
2005 (78th),Art Direction,"Good Night, and Good Luck.",Art Direction: Jim Bissell; Set Decoration: Jan Pascale,NO,,,,,,
2005 (78th),Art Direction,Harry Potter and the Goblet of Fire,Art Direction: Stuart Craig; Set Decoration: Stephenie McMillan,NO,,,,,,
